"","genes","logFC","logCPM","F","PValue","FDR"
"18763","Anp32b",0.1447286,5.846107,0.9015219,0.3646945,0.8438235
"25880","Cdk13",0.1625925,5.12261,0.901446,0.3647138,0.8438235
"18644","A930012O16Rik",0.4415575,0.478554,0.9012991,0.3647513,0.8438235
"10411","Pex12",0.1299097,3.706621,0.9005444,0.3649438,0.8441093
"4133","Exoc3l",0.1644754,2.310006,0.8997118,0.3651564,0.8442242
"17508","Tbca",-0.2421082,5.732838,0.8986722,0.3654221,0.8442242
"12228","Arid1b",0.2061657,4.967968,0.8981801,0.365548,0.8442242
"24259","Zfand2a",0.1262488,4.079577,0.8979469,0.3656077,0.8442242
"859","Pdilt",-0.3934156,3.585333,0.8977474,0.3656587,0.8442242
"337","9230112E08Rik",-0.2677604,1.464236,0.8975747,0.365703,0.8442242
"11694","Gm17491",0.2068513,3.384389,0.8975642,0.3657056,0.8442242
"10180","2310035C23Rik",-0.1387357,4.796255,0.8968399,0.3658911,0.8442242
"31784","Slc27a5",0.3118318,9.143843,0.8964137,0.3660004,0.8442242
"31919","Lrp5",0.3343926,6.665524,0.8961403,0.3660705,0.8442242
"12996","Grcc10",0.2177113,1.426959,0.8958746,0.3661386,0.8442242
"9358","Pde9a",-0.1350642,4.179404,0.8958547,0.3661437,0.8442242
"35114","Vcl",0.4497019,3.800489,0.8956514,0.3661958,0.8442242
"29354","Unc13d",0.2727161,0.607421,0.8956289,0.3662016,0.8442242
"24068","Taf6l",-0.1384245,4.077582,0.8953977,0.3662609,0.8442242
"16686","Rab9",0.2812877,5.975122,0.8952087,0.3663095,0.8442242
"4645","Nodal",-0.3349497,1.063417,0.8950199,0.3663579,0.8442242
"11557","Ptgis",0.3213147,1.153886,0.8947005,0.3664399,0.8442242
"4400","Trio",0.2151752,4.583562,0.89467,0.3664478,0.8442242
"10461","Dut",-0.2480047,3.051702,0.8943732,0.366524,0.8442242
"28419","Cyp1a2",-0.4761538,7.098342,0.8942234,0.3665625,0.8442242
"15870","Bcas3",0.2976321,3.882482,0.8940678,0.3666025,0.8442242
"23155","Thoc2",0.1279148,4.938962,0.8940207,0.3666146,0.8442242
"7862","Il27ra",-0.3325219,0.5277568,0.8937084,0.3666949,0.8442242
"5","Rpf1",0.1326199,4.306043,0.893618,0.3667181,0.8442242
"14671","Repin1",-0.1758919,5.428388,0.8929011,0.3669025,0.8444898
"27204","Gpd1l",-0.1429213,5.139735,0.8925843,0.366984,0.8445186
"5752","Rae1",0.1436702,4.08635,0.8920083,0.3671323,0.8445783
"5188","Tmem70",0.1857987,5.529954,0.8919475,0.367148,0.8445783
"27622","Tmprss6",0.1794964,8.547818,0.8912871,0.3673181,0.8446885
"19763","Top1mt",-0.1459293,3.960564,0.8910568,0.3673775,0.8446885
